layer_id,layer_type,routed_format,samples,pre_router_mean_ms,pre_router_p50_ms,pre_router_p90_ms,pre_router_p95_ms,pre_router_p99_ms,router_mean_ms,router_p50_ms,router_p90_ms,router_p95_ms,router_p99_ms,shared_gap_mean_ms,shared_gap_p50_ms,shared_gap_p90_ms,shared_gap_p95_ms,shared_gap_p99_ms,routed_tail_mean_ms,routed_tail_p50_ms,routed_tail_p90_ms,routed_tail_p95_ms,routed_tail_p99_ms,layer_total_mean_ms,layer_total_p50_ms,layer_total_p90_ms,layer_total_p95_ms,layer_total_p99_ms
27,full_attention,nvfp4,256,0.3491259105503559,0.3491830825805664,0.3502082824707031,0.35048842430114746,0.3537405490875244,0.054310377687215805,0.054271697998046875,0.05836772918701172,0.058368682861328125,0.05939197540283203,0.09536845982074738,0.094207763671875,0.09830379486083984,0.10035228729248047,0.10239982604980469,0.6693446412682533,0.6655998229980469,0.6901760101318359,0.6985759735107422,0.7268868446350096,1.1681493893265724,1.16428804397583,1.1857919692993164,1.1909122467041016,1.2231680393218993
28,gdn,nvfp4,256,0.38578474149107933,0.3850240707397461,0.3880958557128906,0.38912010192871094,0.3906052589416504,0.05243578180670738,0.052224159240722656,0.05324840545654297,0.05324840545654297,0.05939197540283203,0.09619271382689476,0.09523200988769531,0.09731197357177734,0.09932804107666016,0.137983989715576,0.779796440154314,0.7761917114257812,0.8048644065856934,0.8110077381134033,0.8202238082885742,1.3142096772789955,1.3091840744018555,1.3378562927246094,1.3445112705230713,1.3969915390014644
29,gdn,nvfp4,256,0.38592100888490677,0.3829765319824219,0.38912010192871094,0.39014363288879395,0.3921928405761719,0.05261579900979996,0.05222320556640625,0.053249359130859375,0.059391021728515625,0.05940666198730469,0.09691217541694641,0.09625625610351562,0.09932708740234375,0.09932899475097656,0.1102848052978515,0.7787044271826744,0.7731208801269531,0.8074235916137695,0.8130569458007812,0.8371201515197753,1.3141534104943275,1.3076481819152832,1.3373441696166992,1.3445110321044922,1.377484321594238
30,gdn,nvfp4,256,0.3844856843352318,0.3840007781982422,0.3870735168457031,0.3880958557128906,0.38958101272583007,0.052436113357543945,0.05222320556640625,0.054271697998046875,0.05529594421386719,0.05529594421386719,0.0970030277967453,0.09625625610351562,0.09931182861328125,0.10137557983398438,0.13537244796752887,0.7795527204871178,0.7746562957763672,0.8064002990722656,0.8102402687072754,0.8165886878967284,1.3134775459766388,1.3076648712158203,1.3373441696166992,1.343998908996582,1.3933056831359856
31,full_attention,nvfp4,256,0.349754273891449,0.3491840362548828,0.3502082824707031,0.3502082824707031,0.35327997207641604,0.05247028172016144,0.05222320556640625,0.05222511291503906,0.05222511291503906,0.0563201904296875,0.09534844011068344,0.094207763671875,0.09728050231933594,0.09932899475097656,0.10081329345703124,0.6674290895462036,0.6676483154296875,0.6855678558349609,0.6932473182678223,0.7037445068359375,1.1650020852684975,1.1632652282714844,1.1806726455688477,1.186048984527588,1.1973110198974608
32,gdn,nvfp4,256,0.38448580354452133,0.3829765319824219,0.38912010192871094,0.39014434814453125,0.4101632118225093,0.05194292217493057,0.05222320556640625,0.05222511291503906,0.05222511291503906,0.053249359130859375,0.09700869768857956,0.09523200988769531,0.09830474853515625,0.10035324096679688,0.17213401794433572,0.7790000438690186,0.7751693725585938,0.8033285140991211,0.8099842071533203,0.821043300628662,1.31243746727705,1.306624412536621,1.333247184753418,1.3460474014282227,1.4737407684326167
33,gdn,nvfp4,256,0.38272958993911743,0.38195228576660156,0.3860492706298828,0.3870720863342285,0.3880958557128906,0.051878929138183594,0.05222320556640625,0.05222511291503906,0.05222511291503906,0.05324831008911133,0.09590177237987518,0.09472084045410156,0.09932708740234375,0.10035133361816406,0.12702827453613272,0.779068648815155,0.777679443359375,0.8007688522338867,0.8061447143554688,0.8151043891906739,1.3095789402723312,1.3056001663208008,1.3311996459960938,1.3376007080078125,1.3764097213745117
34,gdn,nvfp4,256,0.381109282374382,0.38092803955078125,0.38351917266845703,0.3840007781982422,0.3850231170654297,0.052175819873809814,0.05222320556640625,0.05225563049316406,0.05324745178222656,0.055246734619140626,0.0945531502366066,0.09523200988769531,0.09728050231933594,0.09830474853515625,0.10695686340332031,0.7785590887069702,0.7772159576416016,0.8028144836425781,0.8094720840454102,0.824217414855957,1.3063973411917686,1.3035526275634766,1.3301753997802734,1.3373432159423828,1.3613571166992187
35,full_attention,nvfp4,256,0.34887365251779556,0.3491840362548828,0.3502082824707031,0.3502082824707031,0.35225677490234375,0.051671698689460754,0.05120086669921875,0.05222511291503906,0.05222511291503906,0.05222511291503906,0.09483111649751663,0.094207763671875,0.09731197357177734,0.09932756423950195,0.100814151763916,0.6644290015101433,0.6625604629516602,0.6820001602172852,0.687103271484375,0.7047677040100097,1.1598054692149162,1.158656120300293,1.1776008605957031,1.1812081336975098,1.198336124420166
36,gdn,nvfp4,256,0.3839329779148102,0.3829765319824219,0.3860492706298828,0.3870720863342285,0.3880967140197754,0.05326031148433685,0.05222511291503906,0.05529594421386719,0.059368133544921875,0.06246376037597656,0.09592873603105545,0.09625434875488281,0.09729576110839844,0.09932899475097656,0.10444726943969726,0.7752958312630653,0.7710723876953125,0.8002557754516602,0.8089599609375,0.818636131286621,1.3084178566932678,1.30303955078125,1.3337602615356445,1.341695785522461,1.3541882514953614
37,gdn,nvfp4,256,0.38053030520677567,0.37990379333496094,0.3814554214477539,0.38220834732055664,0.38650932312011715,0.05182615667581558,0.05219268798828125,0.05222511291503906,0.05222511291503906,0.055193519592285134,0.09542025625705719,0.09523200988769531,0.09728050231933594,0.09858322143554688,0.10823717117309563,0.7791136205196381,0.7741451263427734,0.8074245452880859,0.8120326995849609,0.8211457252502441,1.3068903386592865,1.301504135131836,1.3332481384277344,1.3399038314819336,1.3637630462646484
38,gdn,nvfp4,256,0.3806738033890724,0.37990379333496094,0.3829765319824219,0.3840007781982422,0.38447847366333004,0.05216728895902634,0.05222320556640625,0.05224132537841797,0.055574893951416016,0.058368682861328125,0.09693202376365662,0.09625625610351562,0.09830474853515625,0.09984064102172852,0.13235158920288057,0.779428519308567,0.7787837982177734,0.8033437728881836,0.8112883567810059,0.8195590019226073,1.3092016354203224,1.3056325912475586,1.3332490921020508,1.3422083854675293,1.3735420227050779
39,full_attention,fp16,256,0.3491058945655823,0.3491840362548828,0.3502082824707031,0.3502082824707031,0.3522557258605957,0.05180682986974716,0.05222320556640625,0.05222511291503906,0.05222511291503906,0.05222511291503906,0.09496753662824631,0.094207763671875,0.09830474853515625,0.09932899475097656,0.10137643814086914,1.4183532893657684,1.4131364822387695,1.4407682418823242,1.4510083198547363,1.5097859382629388,1.9142335504293442,1.907729148864746,1.9384326934814453,1.9468803405761719,2.0033524513244623
